incident_id,reported_at,city,neighborhood,animal_type,animal_count,age_group,behavior,mobility,weather,report_channel,traffic_risk,near_traffic,near_school,very_thin,bleeding,open_wound,pregnant_or_nursing,has_collar,reporter_confidence,visible_injury,severity_score,priority,resolution_time_hours,outcome
INC-100000,2025-09-06 07:53:23,Tirana,Laprakë,Dog,1,Unknown,Aggressive,Normal,Rain,Call,High,1,0,0,0,0,0,0,4,No,20,P3,22.09,Treated & Released
INC-100001,2025-02-24 04:35:15,Tirana,Rruga e Kavajës,Dog,3,Puppy/Kitten,Calm,Normal,Rain,WhatsApp,Low,0,0,0,0,0,0,0,1,No,17,P3,39.21,Shelter Intake
INC-100002,2025-02-03 18:19:43,Tirana,Paskuqan,Cat,3,Adult,Calm,Unknown,Cold,Call,High,1,1,0,0,0,0,0,5,Yes,40,P2,9.5,Shelter Intake
INC-100003,2025-04-01 08:33:24,Tirana,Fresku,Dog,1,Adult,Calm,Normal,Rain,Call,High,1,0,0,0,1,0,0,4,Yes,35,P3,38.73,Shelter Intake
INC-100004,2025-09-30 08:49:21,Tirana,Fresku,Cat,1,Puppy/Kitten,Calm,Normal,Rain,App,High,0,0,0,0,0,0,0,4,Yes,15,P1,2.17,Shelter Intake
INC-100005,2025-11-11 08:26:19,Tirana,Xhamllik,Dog,1,Adult,Calm,Limping,Cold,Call,High,1,0,0,0,0,0,0,4,No,35,P3,56.83,Referred to Partner Vet
INC-100006,2025-06-14 03:03:06,Tirana,Astir,Cat,1,Puppy/Kitten,Calm,Normal,Clear,Walk-in,Low,0,0,1,0,0,0,0,5,Yes,20,P3,48.11,Treated & Released
INC-100007,2025-05-11 17:17:18,Tirana,Laprakë,Dog,2,Puppy/Kitten,Fearful,Normal,Clear,Call,Low,0,1,0,0,0,0,0,4,Yes,31,P3,35.49,Shelter Intake
INC-100008,2025-05-14 13:53:58,Tirana,Paskuqan,Cat,1,Adult,Calm,Immobile,Rain,Call,Low,0,0,0,0,0,0,0,3,No,19,P3,34.37,Treated & Released
INC-100009,2025-07-28 06:00:29,Tirana,Laprakë,Cat,1,Unknown,Calm,Limping,Rain,Walk-in,Low,0,1,0,0,0,0,0,3,Yes,30,P3,50.66,Unable to Locate
